OBJECTID,BASINID,COUNT,AREA,SUM
512,518,453,0.7864583,6225396.0000000
513,519,48,0.0833333,78271.9140625
514,520,17,0.0295139,111131.6640625
515,521,6,0.0104167,70018.9531250
516,523,31,0.0538194,293259.6250000
517,524,8,0.0138889,15734.5683594
518,525,4,0.0069444,5402.6103516
519,526,12,0.0208333,56721.3593750
520,527,1,0.0017361,54457.1210938
521,528,14,0.0243056,2015917.3750000
522,529,3,0.0052083,31575.9238281
523,530,20,0.0347222,145297.8437500
524,531,4,0.0069444,19767.0976563
525,532,14,0.0243056,101656.2812500
526,533,26,0.0451389,831843.5000000
527,534,1,0.0017361,6348.9545898
528,535,1,0.0017361,2927.7917480
529,536,89,0.1545139,1282430.2500000
530,537,18,0.0312500,155910.0937500
531,538,22,0.0381944,131773.6562500
532,539,5,0.0086806,36795.9218750
533,540,59,0.1024306,418505.7187500
534,541,77,0.1336806,413323.7500000
535,542,50,0.0868056,104780.7421875
536,543,7,0.0121528,23701.4433594
537,544,11,0.0190972,41297.4257813
538,545,3,0.0052083,9756.9345703
539,546,14,0.0243056,734508.5625000
540,547,1,0.0017361,3426.3269043
541,548,28,0.0486111,27284.4667969
542,550,33,0.0572917,12793.7031250
543,551,16,0.0277778,18328.9570313
544,552,13,0.0225694,48507.0546875
545,553,70,0.1215278,124065.5078125
546,554,5,0.0086806,10501.1923828
547,555,111,0.1927083,105101.8671875
548,556,30,0.0520833,20085.2226563
549,557,15,0.0260417,8910.1425781
550,558,41,0.0711806,34853.7617188
551,559,14,0.0243056,11593.8750000
552,560,21,0.0364583,11509.3779297
553,561,9,0.0156250,3475.5905762
554,562,38,0.0659722,67909.2500000
555,563,42,0.0729167,18092.4648438
556,564,14,0.0243056,176494.8125000
557,565,49,0.0850694,73994.0859375
558,566,18,0.0312500,162508.8906250
559,568,9,0.0156250,14193.7529297
560,569,9,0.0156250,6264.4516602
561,570,27,0.0468750,31490.5781250
562,571,50,0.0868056,37170.4726563
563,572,72,0.1250000,64403.5195313
564,573,4,0.0069444,7589.2880859
565,574,46,0.0798611,945735.0625000
566,575,73,0.1267361,196346.2343750
567,576,1,0.0017361,3065.4790039
568,577,56,0.0972222,102411.5859375
569,578,7,0.0121528,10063.4589844
570,579,50,0.0868056,160485.5468750
571,580,38,0.0659722,37443.6523438
572,581,118,0.2048611,119914.9140625
573,582,43,0.0746528,38882.7382813
574,583,89,0.1545139,60114.1679688
575,584,181,0.3142361,81334.9687500
576,585,4,0.0069444,4050.1005859
577,586,51,0.0885417,321462.3750000
578,587,87,0.1510417,93753.0000000
579,588,94,0.1631944,131664.5625000
580,589,24,0.0416667,24871.8027344
581,590,82,0.1423611,842194.9375000
582,591,32,0.0555556,21519.7167969
583,592,7,0.0121528,10421.5468750
584,593,15,0.0260417,38201.5273438
585,594,135,0.2343750,228613.4062500
586,595,248,0.4305556,3410918.5000000
587,596,203,0.3524306,40047.0820313
588,597,41,0.0711806,322434.4687500
589,598,222,0.3854167,8341.3896484
590,599,40,0.0694444,3502.9833984
591,600,5,0.0086806,382.2030334
592,601,32,0.0555556,2410.5505371
593,602,234,0.4062500,8030.7998047
594,603,27,0.0468750,243.4976959
595,604,57,0.0989583,1502.8682861
596,605,36,0.0625000,1221.8527832
597,607,15,0.0260417,339.8407593
598,608,57,0.0989583,1721.8892822
599,609,39,0.0677083,877.7314453
600,610,31,0.0538194,686.0764160
601,611,6,0.0104167,126.2192688
602,612,34,0.0590278,719.5895996
603,613,648,1.1250000,1747570.0000000
604,614,26,0.0451389,4238.3432617
605,615,13,0.0225694,2097.5700684
606,616,57,0.0989583,10372.2763672
607,617,52,0.0902778,7909.8637695
608,618,48,0.0833333,13844.8808594
609,619,8,0.0138889,2002.1721191
610,620,161,0.2795139,141627.1875000
611,621,2,0.0034722,1797.4060059
612,622,43,0.0746528,206328.2031250
613,623,98,0.1701389,150828.4531250
614,624,3,0.0052083,2820.4638672
615,625,17,0.0295139,24514.7167969
616,626,76,0.1319444,177813.8906250
617,627,36,0.0625000,82981.5078125
618,628,26,0.0451389,73597.4375000
